2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1596
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1784
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1886
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/98 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/98 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/98/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1596
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1680
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1737
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 150
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/103 HTTP/1.1" 200 455
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/103 HTTP/1.1" 200 455
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/103/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1502
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 150
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/106 HTTP/1.1" 200 455
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/106 HTTP/1.1" 200 455
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/106/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1527
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1595
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1730
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 150
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/111 HTTP/1.1" 200 455
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/111 HTTP/1.1" 200 455
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/111/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1596
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1689
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1746
